TransactionTypeID,Transaction,TransactionCompany,TransactionGroup,TransactionTypeGroup,TransactionTypeSubGroup,TransactionName,Additive,IsReversal
{0e71d163-0bf4-4185-8b48-9e7db7b471fe},Money3\Loan\Payment\Repayment Dishonour - New - Reversal,Money3,Cash in,Repayment,Dishonour,Repayment Dishonour - New - Reversal,1,Reversal
{64a336b6-6562-4abe-809d-ddb951f4c24a},Money3\Loan\Payment\Repayment Dishonour - Old - Reversal,Money3,Cash in,Repayment,Dishonour,Repayment Dishonour - Old - Reversal,1,Reversal
{244d60d7-2cef-4e24-8a7d-02c9cab998d1},Money3\Loan\Payment\Repayment Dishonour Manual,Money3,Cash in,Repayment,Dishonour,Repayment Dishonour Manual,1,Transaction
{cde651a4-8f90-4baf-adc5-83e8499eaa3c},Money3\Loan\Payment\Repayment Dishonour Manual,Money3,Cash in,Repayment,Dishonour,Repayment Dishonour Manual,1,Transaction
{e832ac26-3c19-41aa-871c-a08f9b698d69},Money3\Loan\Payment\Repayment Dishonour NEW,Money3,Cash in,Repayment,Dishonour,Repayment Dishonour NEW,1,Transaction
{e94f9a24-9b1e-4275-a740-4fd51c4d3f71},Money3\LOC\Disbursement\Cash Disbursement - Drawdown,Money3,Cash Out,Disbursement,Disbursement,Cash Disbursement - Drawdown,1,Transaction
{775161d1-ab1e-435b-93c6-8e6d53fd8bfe},Money3\LOC\Disbursement\Direct Credit - Drawdown,Money3,Cash Out,Disbursement,Disbursement,Direct Credit - Drawdown,1,Transaction
{9f3fded2-344d-4f5c-8e26-efe4ed0b247f},Money3\LOC\Disbursement\Direct Credit - Drawdown - Reversal,Money3,Cash Out,Disbursement,Disbursement,Direct Credit - Drawdown - Reversal,1,Reversal
{360f0924-92dd-4e5d-bff5-0026526f5645},Money3\LOC\Disbursement\Reversal\Cash Disbursement Payment Drawdown- Reversal,Money3,Cash Out,Disbursement,Disbursement,Reversal,1,Reversal
{c1b0f505-72bd-4f1d-ac11-f45d77e4bf7d},Money3\LOC\Payment\Payment (Cash),Money3,Cash in,Repayment,Repayment - Cash,Payment - Cash,1,Transaction
{f03763e2-eb24-4ca9-bef2-e525ade90ce8},Money3\LOC\Payment\Payment (Cheque),Money3,Cash in,Repayment,Repayment - Cheque,Payment (Cheque),1,Transaction
{468824e4-f92e-428c-8000-de9d68619d23},Money3\LOC\Payment\Payment (Direct Debit) Capitalise Today,Money3,Cash in,Repayment,Repayment - Direct Debit,Payment (Direct Debit) Capitalise Today,1,Transaction
{d685de8f-4009-4968-9fe6-bd63de507376},Money3\LOC\Payment\Payment (Salary),Money3,Cash in,Repayment,Repayment - Salary,Payment (Salary),1,Transaction
{8ae7a940-e7de-47ba-a98e-6227241c4698},Money3\LOC\Payment\Payment Reversal,Money3,Cash in,Repayment,Repayment - Cash,Payment Reversal,1,Reversal
{3a708976-2f8d-458c-bc45-dd23d1d4d2a0},Money3\MoneyGram\Disbursement\Amount Sent,Money3,Cash Out,MoneyGram,MoneyGram Sent,Amount Sent,1,Transaction
{a97c5fcc-5625-48d2-9aeb-463e7cf7ab58},Money3\MoneyGram\Disbursement\Cash (Received),Money3,Cash in,MoneyGram,MoneyGram Received,Cash (Received),1,Transaction
{8fd616f5-118f-4cc4-acfa-a9c48944edd8},Money3\MoneyGram\Disbursement\Cash (Sent),Money3,Cash Out,MoneyGram,MoneyGram Sent,Cash (Sent),1,Transaction
{fb389b3e-43ec-4300-9445-c11403945d82},Money3\MoneyGram\Disbursement\MoneyGram Fee,Money3,Loan Fee,MoneyGram,MoneyGram Fee,MoneyGram Fee,1,Transaction
{10dd208f-f453-4323-af7f-ef3a2a44df86},Money3\Insurance\Equity Plus Insurance,Money3,Insurance,Insurance,Insurance,GAP/Equity Insurance,1,Transaction
{4b133079-a16a-4859-86e5-34b2963bce5e},Money3\Insurance\Comprehensive Insurance,Money3,Insurance,Insurance,Insurance,Comprehensive Insurance,1,Transaction
{64228cb1-9fde-4d45-9d9c-ac93b8177fb5},Money3\Fee\ERD Discount,Money3,Loan Fee,Fee,Discharge,ERD Discount,1,Transaction
{ab16bf8d-a13b-4af4-9ecf-f52aac361f22},Money3\Rental\Lease Abandoned - Vehicle Returned,Money3,Rental,Rental,Rental,Lease Abandoned - Vehicle Returned,1,Transaction
{ebe294bf-5609-4ab7-b904-b1576c2fc836},Money3\Insurance\GAP/Equity Insurance,Money3,Insurance,Insurance,Insurance,GAP/Equity Insurance,1,Transaction
{f1d448c2-d6dd-4e45-bb47-bab3f955d30a},Money3\Insurance\Extended Warranty,Money3,Insurance,Insurance,Insurance,Extended Warranty,1,Transaction
{1d80d541-cd59-4e75-90d5-6c48e9c326ca},Money3\Loan\Payment\Repayment Dishonour - Cheque,Money3,Cash in,Repayment,Dishonour,Loan Dishonour,1,Transaction
{274ab776-dbd9-4187-9621-2a5f08c68ab4},Money3\Discharge\Discharge Disbursement\Cheque,Money3,Cash In,Discharge,Repayment - Cheque,Discharge Transaction - Reimbursement  Cheque,1,Transaction
{335c9ed6-5f11-4ca3-929c-46ecae08d729},Money3\Rental\Loan Add Ons,Money3,Rental,Rental,Rental,Loan Add Ons,1,Transaction
{5edc0205-20a8-4e8d-872f-3a12b24ad271},Money3\Fee\Loan\Tax Agent Fee,Money3,Loan Fee,Fee,loan,Tax Agent Fee,1,Transaction
{6a4dfee3-1090-4ae2-9421-079da332406c},Money3\Fee\Loan\Establishment Fee,Money3,Loan Fee,Fee,Establishment Fee,Establishment Fee,1,Transaction
{a078d5d1-36d7-4b6f-b9c7-7a1649efaa90},Money3\Rental\Adjust Up - Initial Rental Amount,Money3,Rental,Rental,Rental,Adjust - Initial Rental Amount,1,Transaction
{b024482a-6f8c-48af-bc0c-7b4ec926db1b},Money3\Insurance\Total Assist,Money3,Insurance,Insurance,Insurance,Total Assist,1,Transaction
{d271376c-6495-43a6-8d21-1df2784400a5},Money3\Insurance\Cash Benefit,Money3,Insurance,Insurance,Insurance,Cash Benefit,1,Transaction
